week,volume,inv,users
2022-10-31,0.38,1.6098818321672947,6.5
2022-11-07,0.47,1.8805475167061108,7.061
2022-11-14,0.32,2.2978101048548076,5.875
2022-11-21,1.69,5.6238751985173963,24.238
2022-11-28,1.23,1.4734182244042613,7.648
2022-12-05,0.77,0.69191125439380019,4.105
2022-12-12,0.49,0.3358662509758,2.06
2022-12-19,0.14,0.18280572646760007,0.655
2022-12-26,0.39,0.18269453880359995,0.778
2023-01-02,0.33,0.12189811847159998,0.808
2023-01-09,0.36,0.36124137536160006,1.641
2023-01-16,0.49,0.4482603185542,2.323
2023-01-23,0.5,0.5095756889255999,2.137
2023-01-30,0.48,0.5833726916782,1.862
2023-02-06,0.48,0.70195303723859948,2.042
2023-02-13,0.45,0.74532882674939971,2.219
2023-02-20,0.41,0.87013364016699957,2.31
2023-02-27,0.47,0.7563819646122002,2.785
2023-03-06,0.62,0.66507240765059994,2.66
2023-03-13,0.6,0.48862040633660009,2.71
2023-03-20,0.51,0.4109791732896001,2.153
2023-03-27,0.46,0.38200847858319992,1.441
2023-04-03,0.65,0.46485020795360016,1.748
2023-04-10,0.83,2.5040495930730002,4.197
2023-04-17,0.97,0.64601427184259974,2.411
2023-04-24,0.86,0.59531256586039982,1.954
2023-05-01,0.83,0.44021088090480032,2.126
2023-05-08,0.87,0.38011376909099992,2.903
2023-05-15,0.78,0.35726171904459991,2.393
2023-05-22,0.75,0.32751842983719981,2.914
2023-05-29,0.69,0.29839788757700009,3.268
2023-06-05,0.9,0.12042751987999999,2.447
2023-06-12,0.58,0.075291835677799984,1.279
2023-06-19,0.67,0.068431662373599988,1.115
2023-06-26,0.68,0.0729494318826,1.101
2023-07-03,0.79,0.10409466764060002,1.895
2023-07-10,0.81,0.070667962047800029,1.737
2023-07-17,0.71,0.05213672864620001,1.079
2023-07-24,0.66,0.0605304296614,0.707
2023-07-31,0.65,0.089411849563809584,0.767
2023-08-07,0.66,0.089875275291697448,0.794
2023-08-14,0.62,0.086767257477504633,0.791
2023-08-21,0.57,0.063901194451113974,0.765
2023-08-28,0.56,0.068876117168763018,0.784
2023-09-04,0.44,0.063172617827399982,0.536
2023-09-11,0.58,0.060184895844999996,0.731
2023-09-18,0.61,0.05596048997719999,0.641
2023-09-25,0.48,0.076252515783999983,0.543
2023-10-02,0.58,0.094200774186400008,0.646
2023-10-09,0.38,0.059458866914399992,0.401
2023-10-16,0.51,0.05828116305400001,0.55
2023-10-23,0.48,0.076005384642999982,0.669
2023-10-30,0.48,0.089482645599000071,0.883
2023-11-06,0.54,0.069813403453,1.007
2023-11-13,0.52,0.110761595396,1.351
2023-11-20,0.77,0.11380482119999999,1.46
2023-11-27,0.76,0.06666880508299998,1.027
2023-12-04,0.64,0.063897675331,0.846
2023-12-11,0.64,0.061152038111000021,1.717
2023-12-18,0.78,0.067284183862999988,1.68
2023-12-25,0.71,0.062307465553000013,1.594
2024-01-01,0.76,0.089300484044,2.616
2024-01-08,0.9,0.126896410055,2.703
2024-01-15,0.86,0.13128449523299993,2.333
2024-01-22,0.86,0.15624378024499994,2.818
2024-01-29,0.94,0.25722057844640012,4.105
2024-02-05,1.3,0.57926669698360012,7.198
2024-02-12,1.81,0.93012590780279991,12.267
2024-02-19,2.47,1.5143353284082004,18.214
2024-02-26,3.12,1.2308285477860008,17.923
2024-03-04,4,1.8774663709788002,23.977
2024-03-11,4.49,1.5502834332730011,23.659
2024-03-18,2.73,0.7768274885848,9.339
2024-03-25,3,0.61989909273579946,8.037
2024-04-01,4.28,1.3470686372743998,12.521
2024-04-08,5.56,3.0207705766101971,24.256
2024-04-15,5.79,3.9799412436220005,29.332
2024-04-22,6.12,2.0361786269831996,17.25
2024-04-29,6.52,2.9228568482869988,24.259
2024-05-06,8.09,3.3249493718004,27.218
2024-05-13,6.41,1.6466609272818005,13.648
2024-05-20,5.12,1.4919599373730004,11.598
2024-05-27,6.17,2.6964416194279996,19.669
2024-06-03,5.84,1.515207679118,12.376
2024-06-10,5.89,1.7822413653363989,12.629
2024-06-17,7.81,2.8387961532369976,17.529
2024-06-24,7.99,2.4646524633105988,16.629
2024-07-01,8.92,3.5274364939006015,23.338
2024-07-08,7.55,2.977656000067201,20.893
2024-07-15,7.22,1.5087510213390012,11.839
2024-07-22,6.44,0.7879360091022,9.781
2024-07-29,5.3,0.71437364576659979,4.559
2024-08-05,6.37,0.83548299974520013,6.898
2024-08-12,7.74,0.5132107128411999,10.602
2024-08-19,6.99,0.0763109171968,7.646
2024-08-26,5.04,0.056150763619599996,2.021
2024-09-02,4.11,0.014653119082,1.01
2024-09-09,4.85,0.00024,1.408
2024-09-16,4.82,0.0084179499999999987,1.313
2024-09-23,4.48,0.00240783,1.007
2024-09-30,4.42,0.0080138500000000012,1.05
2024-10-07,3,0.02305081,0.727
2024-10-14,3.23,0.027970309999999991,1.092
2024-10-21,3.63,0.024760579999999997,1.287
2024-10-28,3.43,0.021887259999999995,0.854
2024-11-04,4.17,0.054282970173000017,1.005
2024-11-11,2.91,0.026836033042000013,0.422
2024-11-18,3.44,0.04469678471959574,0.629
2024-11-25,3.44,0.15842856935463825,3.062
2024-12-02,4.08,0.094896190191021329,3.64
2024-12-09,3.25,0.056305802884595718,1.843
2024-12-16,2.92,0.015154932324000003,0.798
2024-12-23,2.47,0.011918637121000003,0.434
2024-12-30,2.8,0.011793141253999998,0.707
2025-01-06,3.27,0.059646924719243995,2.674
2025-01-13,4.17,0.16585836324549802,5.53
2025-01-20,4.56,0.20547020526399798,5.45
2025-01-27,5.19,0.21555406452890602,5.292
2025-02-03,6.34,0.247035635509788,10.867
2025-02-10,5.81,0.33366375276239379,9.562
2025-02-17,6.46,0.36180567714821005,8.674
2025-02-24,7.64,0.4403794083393282,9.7
2025-03-03,9.1,0.6334407293332821,14.347
2025-03-10,9.82,0.618969625301986,13.121
2025-03-17,6.18,0.34373305595123,6.575
2025-03-24,7.68,0.61203437950946582,13.846
2025-03-31,8.31,0.39647645937211184,7.53
2025-04-07,9.25,0.641549600696826,10.316
2025-04-14,8.19,0.62185746730412361,8.838
2025-04-21,7.61,0.62005415540872211,9.053
2025-04-28,7.55,0.5219471414817719,6.739
2025-05-05,10.27,0.68231093638568585,11.207
2025-05-12,9.44,0.65244830334069626,7.916
2025-05-19,8.34,0.68983731819800032,7.651
2025-05-26,8.89,0.909268437844,10.954
2025-06-02,9.81,0.8169312645946,15.13
2025-06-09,10.46,0.76263797323800042,15.738
2025-06-16,14.61,0.98876534804239991,14.276
2025-06-23,11.81,0.77176274521339983,12.227
2025-06-30,10.87,0.9192875756758,14.148
2025-07-07,11.9,0.99059737754060007,11.807
2025-07-14,10.89,0.68351721709939961,8.499
2025-07-21,10.46,0.85922497518879981,9.467
2025-07-28,10.68,1.1362270459706005,10.448
2025-08-04,13.43,0.83999501645660046,8.148
2025-08-11,13.6,0.74932649351180047,6.931
2025-08-18,15.2,0.84100895671859988,6.671
2025-08-25,16.24,1.0311329824179998,8.018
2025-09-01,13.43,0.51721774558539979,3.847
2025-09-08,16.59,0.56418279014580019,4.773
2025-09-15,21.37,1.2246329352254002,9.768
2025-09-22,19.82,1.0989193452856003,9.035
2025-09-29,20.33,1.1443438172910003,9.575
2025-10-06,14.5,0.520284685143,4.504
2025-10-13,17.89,0.83799849547760019,7.296
2025-10-20,24.52,1.4222424464930001,12.458
2025-10-27,20.44,1.1203013930713999,8.521
